view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
9971,2245.0,27.0,25.0,50.0,18,0,0,0,15
5374,5643.0,39.0,25.0,50.0,19,1,0,0,15
10927,456.0,10.0,25.0,50.0,23,1,0,0,15
5248,258.0,6.0,25.0,50.0,24,2,0,0,15
53002,52.0,1.0,25.0,50.0,28,0,0,0,15
3345,45.0,5.0,25.0,50.0,29,0,0,0,15
129174,58.0,2.0,44.0,22.0,31,0,0,0,15
78732,41.0,2.0,25.0,50.0,43,0,0,0,15
139828,78.0,1.0,47.0,47.0,52,0,0,0,15
2779,74.0,3.0,25.0,50.0,71,0,0,0,15
9554,4321.0,19.0,25.0,50.0,72,0,0,0,15
504283,74.0,1.0,25.0,50.0,85,0,0,0,15
14292,2955.0,22.0,25.0,50.0,92,0,0,0,15
2328,56.0,2.0,190.0,50.0,94,0,0,0,15
20983,1223.0,14.0,25.0,50.0,106,1,0,0,15
12456,403.0,18.0,25.0,50.0,111,2,0,0,15
20610,8813.0,148.0,25.0,50.0,115,5,0,0,15
32057,19033.0,75.0,25.0,50.0,135,3,0,0,15
